用户ID,评论内容,购买时间,点赞数,回复数,得分,评价时间,手机型号

15759526748,新买的石头T7S Plus扫地机器人，今晚让它开始工作，先是将家里画平面图，很准确，路线规划也很有规律，边扫边拖地，还是挺干净的，一次充电扫拖130平方米完全没问题，中途不用充电加水，每天就让它好好干。,2021-05-31 21:11:41,1,1,5,2021-06-04 13:58:08,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15801056160,石头机器人T7S非常好用，地面上的毛发能吸得非常干净，整屋清扫规划非常合理，边边角角也处理得很好，几乎不留死角，灵敏度也很棒，比我家原有的机器人好很多，而且它擦地也非常干净，我家原来的robot只能扫地不能拖地，我非常满意！肖战粉丝小飞侠支持肖战代言！,2021-04-05 22:57:46,3,1,5,2021-06-13 13:03:20,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15839100095,扫地扫得超干净，拖地我觉得也还不错，越障能力超棒，厨房这个门槛能自己过，整个打扫下来没有需要我手动帮忙的地方。可以app操控选区清扫什么的很方便。,2021-06-16 09:54:13,0,1,5,2021-06-20 13:46:12,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15593001531,扫的很干净，家里刚打扫几天，我以为很干净，没想到这么多灰尘，床底下还扫出了好久之前侄女掉的东西，每次拖完要洗拖布，有一个房间比较脏，我直接用洗衣粉水洗的拖布，然后拖的时候好干净啊，感谢肖战代言，让我尝试新东西，本小飞侠大人非常喜欢，以后我妈再也不会叫我拖地啦，哈哈哈哈哈哈哈哈,2021-04-16 09:51:53,88,6,5,2021-04-23 15:47:15,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15592875418,"石头扫拖机器人真的好用，智能规划路线，多种吸擦模式，手机app和小度都可以控制，打扫声音很小，清扫效果非常好，擦的非常干净，家人超级满意，发货和到货都好快，付完尾款，第二天就到了。肖战代言的产品质量真的不错，小飞侠支持好的产品。
吸力大小：很大
智能程度：很智能
灵敏程度：灵敏
越障能力：突出
续航时间：很长，打扫一次130平，耗电百分之20多
噪音大小：很小",2021-03-29 19:58:54,61,2,5,2021-04-23 15:13:46,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15651625500,"肖战的小飞侠终于用上扫地机了！
很方便，比手持的省事多了，床底也能弄干净。
用了三次，今天第一次拖地，感觉还不错～
如果尺寸能再小一圈就好了。",2021-04-28 13:08:47,28,1,5,2021-05-09 14:43:51,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15572908643,很好用，智能程度高，扫的很干净，特别是床底下的灰，平时打扫不到，结果一个房间就吸了一盒子尘土。早就想买扫地机器人了，正好肖战代言就立刻出手了，准备再买一个送给爸妈。如果语音也换成肖战的就更棒了。百香果大人支持肖战代言???,2021-03-29 10:54:39,41,7,5,2021-04-18 10:59:16,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15617391632,别人推荐的型号，买来用了几天，可以手机APP来让它扫地，很方便，基本就是上班的时候让它自己在家扫两遍，晚上吃完饭再来次拖地，家里地面就很干净了，主要是没次都能吸出好多灰尘，这个太厉害了。另外呢还节省了我的时间，晚上吃完饭可以多些时间辅导娃功课了。家里的小朋友们也都喊它小石头，很高兴家里又多了一员。,2021-04-25 10:20:30,9,1,5,2021-04-29 23:48:34,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15577594241,谢谢代言人肖战，让我认识了这么聪明能干的小石头，扫拖功能一级棒，床底也打扫的很干净，噪音很小，可以忽略不计（反正比我家电吹风还小声），门口的地垫也吸的很干净;今天热爱礼盒也收到了，开心！肖战粉丝小飞侠支持肖战代言,2021-04-12 14:29:41,90,7,5,2021-04-19 15:08:00,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15577958244,石头机器人真是太好用了，颜值高（和代言人一样帅），聪明智能，噪音小，使用方便，解放双手，还有肖战语音包，我太喜欢了，战战声音好好听，好暖心，本肖战粉丝小飞侠非常满意，非常喜欢，这个是买来送给爸妈的，之后搬了新家再给自己买一个！,2021-03-29 23:05:40,74,3,5,2021-04-19 16:40:12,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15570090173,噪音小，扫拖一体很干净。零点下单，下午就到了。很智能，自动避障且没有死角。第一次打扫在记录地图，还不完整，但地方都打扰到了。地毯也会标记出来，自动抬起拖布，不会打湿地毯。都说扫地机不好用，那看来是没有买石头扫地机，很好用，很干净。可以解放双手了，有这时间干点啥不好呢。真是爱了。,2021-03-29 11:38:15,25,1,5,2021-04-17 15:28:49,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15685374832,"因为肖战代言，立马关注了。刚好家里需要，就买了。买回来，真香&hellip;&hellip;真的超级无敌好用。解放双手啊！扫跟拖一起的，拖地有一点点水渍，但是完全在了接受范围。小石头机器人工作的声音也在可接受范围。水果姐来支持一下！也推荐给朋友啦，哈哈哈,估计也要下单了。",2021-05-10 00:06:56,6,1,5,2021-05-17 22:47:50,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15608339616,操作简单，手机设置好以后。第一遍测绘地图会慢一些，之后根据测绘出来的地图会调整工作路径，速度就快了，避障功能不错，清洁效果非常棒。第一次就清洁出一大堆灰尘，地面扫拖非常干净。到货之前邻居听说了都在观望就等反馈，如果好用她们也要买。如果家中有老人，经济条件允许的，强烈建议购买，为老人减轻负担。?(?^o^?)?,2021-03-29 20:01:19,6,1,5,2021-04-27 16:27:33,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
15774958700,颜值高，功能强。智能避障，家里东西比较多，都能完美地无遗漏清扫。APP规划，清扫时声音不大，扫拖效果都不错。很好的家务小帮手。小飞侠支持肖战代言。,2021-05-30 17:50:47,5,2,5,2021-06-07 17:35:46,肖战同款石头（roborock）扫地机器人T7S 扫拖一体机智能吸尘器家用激光导航规划全自动拖地机A1400RR
