用户ID,评论内容,购买时间,点赞数,回复数,得分,评价时间,型号

15924486441,物超所值啊，这个按摩披肩真的是放松神器啊，不管你是坐着躺着趴着，都可以按摩到，超级舒服，果然帅哥的代言就是养眼又实用。,2021-06-18 22:02:35,0,0,5,2021-07-04 17:36:11,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15924301994,给爸爸妈妈买的，他们说敲打的得舒服，我试试也觉得舒服，又想自己买一个用了，好评！,2021-07-02 15:53:45,0,0,5,2021-07-04 16:56:31,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15924270606,还没用，打算拿回家送给爸妈。是看到肖战粉丝小飞侠用过的体验才过来买的，感觉对长时间坐着的人很实用。很喜欢肖战先生代言的产品，对我这种选择困难症来说真的很不错，支持肖战，做一个肖战粉丝小飞侠。,2021-07-01 21:05:38,0,0,5,2021-07-04 16:52:38,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15923867970,包装太糟糕啦，拿着走着居然从**掉了幸好里面还有塑料袋保护也不是怕摔的还有我的眼疾手快；力道很大的，东西自重很沉，比较符合家属对按摩力度的要求。,2021-07-01 11:13:33,0,0,5,2021-07-04 15:30:51,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15922590714,送妹妹的生日礼物，她很喜欢，方便适用,2021-06-25 10:12:06,0,0,5,2021-07-04 10:53:50,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15918178365,东西很喜欢，质量也很好的，这个价格能买到是真的很划算宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~???真的很好用，对商品非常满意，属于无限回购款，推荐！,2021-07-02 08:59:52,0,0,5,2021-07-03 17:15:39,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15916385784,因为肖战代言买来送长辈的，长辈非常喜欢！不错！,2021-06-28 21:54:03,0,0,5,2021-07-03 13:29:29,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15912000376,非常满意?，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞?值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买真的很好，性价比也很高，质量也很好，物流也快啊！一天就到货了！,2021-06-28 23:29:09,0,0,5,2021-07-02 22:52:54,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
15909777461,挺不错，送给母亲当作生日礼物。,2021-06-28 10:00:49,0,0,5,2021-07-02 14:47:32,【肖战代言款】倍轻松（breo）颈部按摩披肩颈椎按摩器肩颈按摩器肩颈背部敲打捶打肩部腰部按摩器红外热敷
