,0
0,100011531423
1,100019625806
2,100011620132
3,10028191395322
4,66950033226
5,100013131504
6,10027808034116
7,10031434581181
8,100022582736
9,67954852491
10,100021608778
11,100019628338
12,69543459930
13,100003589913
14,100023559292
15,69125444762
16,100022802976
17,10031470927996
18,100023105786
19,100004193550
20,100003503981
21,100020096500
22,56510698954
23,10031814946790
24,100010567986
25,100011416502
26,10028298951910
27,100012024665
28,59469490105
29,65644076767
30,10026159651267
31,100021025530
32,10031918918568
33,69357247389
34,10026112911386
35,100012283433
36,10027911523487
37,10031920643074
38,10026159374751
39,69011835789
40,10031845548338
41,59476690004
42,100021951362
43,100013369062
44,43588406713
45,100021324422
46,100020429266
47,69422008580
48,10031537332759
49,68374010403
50,10029779644699
51,47933697710
52,10028210420392
53,69386929011
54,72333067836
55,100021951404
56,100012199639
57,100012302013
63,57526440143
64,100019702388
65,13924362312
66,100020877898
67,10026278706067
73,100016627452
76,10024345293811
77,10022889356610
78,10023002416472
79,10029485738927
80,70039487496
81,10027580720663
82,10026632909135
83,100008856790
84,10026516370937
85,1439554757
87,100020429258
88,100012301999
89,100021798190
90,69351155524
91,10029781377132
92,10025832832894
93,10027147206703
94,10027147206702
95,10026152610936
96,56244371550
97,68968751042
98,10031307129616
99,10031417437866
100,68373187086
101,10028302682487
102,69362528525
103,69351155523
104,69636574284
105,69306783219
106,69302749545
107,10031436179846
108,70539180669
109,10025832602326
110,100023184732
111,10031884234558
112,10026159417574
113,10026251420666
114,10030131142756
115,10026256722333
116,10030763034193
117,10026249732580
118,10026159352434
119,10026159414887
120,10028928913200
121,10020146949080
122,10025506624740
123,10025507064953
124,10025507690621
125,10025508186396
126,100021951400
127,100020429274
128,100022185516
129,100021951398
130,10026654129662
131,67693502406
132,10026621484384
133,10026836618693
134,10027147206704
135,69351155522
136,10020146949079
