,0
0,100007720134
1,100012709596
2,100014529296
3,100007652982
4,100005285439
5,100013446202
6,100022491568
7,100011836578
8,100013785150
9,100022134514
10,100018174234
11,100004400175
12,100009336202
13,100022134562
14,100006459071
15,100011836602
16,100015184394
17,100012331172
18,100009336204
19,100015191200
20,100007671233
21,100015191198
22,100008383943
23,100014989052
24,100014989054
25,100022573294
26,100005778509
27,100018174262
28,100012367590
29,100013446190
30,100012367590
31,100013446190
32,100006518707
33,100008518971
